timestamp,low,high,open,close,volume
2026-02-24 03:00:00+00:00,63321.69,64079.19,64079.19,63568.6,477.38293291
2026-02-24 04:00:00+00:00,62828.39,63600.0,63571.4,63348.73,842.10953236
2026-02-24 05:00:00+00:00,62676.78,63536.21,63348.72,63084.84,530.44365931
2026-02-24 06:00:00+00:00,62876.3,63303.26,63084.84,63067.09,261.99122597
2026-02-24 07:00:00+00:00,62896.63,63347.55,63067.09,63167.02,272.04972873
2026-02-24 08:00:00+00:00,62970.58,63425.0,63170.0,63371.25,195.60523288
2026-02-24 09:00:00+00:00,62917.86,63398.74,63371.25,63240.37,279.58392559
2026-02-24 10:00:00+00:00,63101.6,63353.73,63240.37,63270.0,209.91250699
2026-02-24 11:00:00+00:00,63050.0,63314.12,63274.7,63211.99,304.85237203
2026-02-24 12:00:00+00:00,62937.83,63341.84,63211.97,62948.01,399.93049874
2026-02-24 13:00:00+00:00,62534.61,63099.98,62948.01,62884.71,641.81823704
2026-02-24 14:00:00+00:00,62748.99,63851.57,62889.18,63461.98,1271.38527706
2026-02-24 15:00:00+00:00,63304.38,64044.99,63461.99,63979.2,1079.79603397
2026-02-24 16:00:00+00:00,63703.33,64448.69,63979.21,64273.22,1079.30837894
2026-02-24 17:00:00+00:00,64047.78,64521.42,64269.29,64229.93,807.9641046
2026-02-24 18:00:00+00:00,63938.32,64517.76,64229.92,64428.01,528.82005522
2026-02-24 19:00:00+00:00,64247.12,64749.86,64428.02,64442.79,468.66047553
2026-02-24 20:00:00+00:00,64312.85,64600.24,64442.79,64474.97,414.36759795
2026-02-24 21:00:00+00:00,63841.33,64474.48,64474.48,64032.89,461.79675606
2026-02-24 22:00:00+00:00,63969.01,64241.08,64032.9,64119.84,234.60925556
2026-02-24 23:00:00+00:00,63854.0,64261.49,64122.75,64068.33,338.92474839
2026-02-25 00:00:00+00:00,63912.25,64331.16,64068.33,64221.53,370.59218881
2026-02-25 01:00:00+00:00,64146.1,66300.04,64221.53,65899.06,1263.49639374
2026-02-25 02:00:00+00:00,65865.6,66313.68,65899.06,65879.41,462.5828082
2026-02-25 03:00:00+00:00,65348.37,65947.61,65879.4,65387.99,462.14990323
2026-02-25 04:00:00+00:00,65110.13,65648.27,65388.0,65451.26,307.03860288
2026-02-25 05:00:00+00:00,64751.55,65512.52,65451.27,64884.01,336.33542362
2026-02-25 06:00:00+00:00,64857.04,65120.31,64884.0,64893.97,176.2196487
2026-02-25 07:00:00+00:00,64773.61,65191.3,64893.97,65028.35,183.20227773
2026-02-25 08:00:00+00:00,64960.71,65578.0,65028.35,65517.99,251.52442364
2026-02-25 09:00:00+00:00,65424.47,65695.93,65517.98,65551.23,215.06779184
2026-02-25 10:00:00+00:00,65341.95,65652.0,65551.24,65402.44,211.94926101
2026-02-25 11:00:00+00:00,65184.08,65479.68,65398.83,65413.11,245.98292132
2026-02-25 12:00:00+00:00,65317.71,66239.21,65412.38,66066.1,448.47975142
2026-02-25 13:00:00+00:00,66011.07,66678.18,66066.12,66243.79,565.32885099
2026-02-25 14:00:00+00:00,66189.88,67045.75,66243.79,66974.33,1092.7390204
2026-02-25 15:00:00+00:00,66713.92,67598.99,66971.85,67420.0,1576.36490384
2026-02-25 16:00:00+00:00,67414.28,68362.72,67418.01,68332.01,1852.33515966
2026-02-25 17:00:00+00:00,68032.5,68920.0,68326.51,68694.01,2052.79680098
2026-02-25 18:00:00+00:00,68399.22,69573.99,68694.0,69359.71,1513.12871927
2026-02-25 19:00:00+00:00,68806.0,69437.06,69361.67,69060.2,995.05919311
2026-02-25 20:00:00+00:00,68643.95,69411.67,69062.52,69177.78,705.7609184
2026-02-25 21:00:00+00:00,68790.11,70020.0,69175.57,68935.98,916.07496582
2026-02-25 22:00:00+00:00,68071.99,69205.1,68935.99,68453.75,551.24809916
2026-02-25 23:00:00+00:00,67590.68,68702.22,68450.74,67992.68,567.09057046
2026-02-26 00:00:00+00:00,67717.55,68547.69,67992.68,68347.72,455.91344296
2026-02-26 01:00:00+00:00,68217.42,68716.78,68348.34,68264.0,354.61463418
2026-02-26 02:00:00+00:00,67812.21,68363.7,68264.0,68262.14,438.54016965
2026-02-26 03:00:00+00:00,68030.15,68400.0,68264.02,68214.01,284.5365065
2026-02-26 04:00:00+00:00,68178.84,68866.86,68215.77,68571.94,303.48505958
2026-02-26 05:00:00+00:00,68122.97,68574.63,68573.45,68458.18,257.37459597
2026-02-26 06:00:00+00:00,68064.53,68527.97,68458.18,68186.0,170.92361474
2026-02-26 07:00:00+00:00,67826.32,68295.4,68186.0,67840.04,180.01019902
2026-02-26 08:00:00+00:00,67782.74,68250.0,67840.04,67964.02,201.24531877
2026-02-26 09:00:00+00:00,67935.64,68646.01,67964.02,68587.99,225.00389651
2026-02-26 10:00:00+00:00,68253.22,68720.82,68590.39,68304.02,196.98178582
2026-02-26 11:00:00+00:00,67967.16,68396.9,68306.04,68044.19,282.75487891
2026-02-26 12:00:00+00:00,68009.4,68299.09,68044.2,68174.39,184.75465092
2026-02-26 13:00:00+00:00,67842.6,68215.84,68174.39,67900.01,347.88306843
2026-02-26 14:00:00+00:00,67258.51,68275.86,67900.01,67703.42,1077.57349179
2026-02-26 15:00:00+00:00,66764.26,67753.99,67700.45,67392.0,1160.16228665
2026-02-26 16:00:00+00:00,66500.92,67570.0,67395.0,66641.04,1202.28962824
2026-02-26 17:00:00+00:00,66591.01,67052.05,66641.03,66822.04,505.43061847
2026-02-26 18:00:00+00:00,66571.33,67375.0,66822.03,67308.75,742.6308074
2026-02-26 19:00:00+00:00,67287.0,67910.6,67308.75,67580.98,729.36513495
2026-02-26 20:00:00+00:00,67298.0,67842.99,67580.98,67434.87,538.42092813
2026-02-26 21:00:00+00:00,67135.01,67591.83,67434.02,67472.99,440.2444062
2026-02-26 22:00:00+00:00,67320.02,67635.0,67473.0,67578.85,171.27381321
2026-02-26 23:00:00+00:00,67400.29,67671.0,67578.84,67490.51,226.86038282
2026-02-27 00:00:00+00:00,67000.0,67558.76,67490.5,67231.99,246.40087508
2026-02-27 01:00:00+00:00,66877.91,67386.93,67236.67,67355.99,304.66275631
2026-02-27 02:00:00+00:00,67259.25,67558.54,67355.99,67270.0,286.16330492
2026-02-27 03:00:00+00:00,67085.66,67738.69,67272.0,67609.05,241.55687861
2026-02-27 04:00:00+00:00,67578.93,68223.07,67608.04,67745.98,465.48138416
2026-02-27 05:00:00+00:00,67667.78,67918.99,67741.44,67727.61,266.37631337
2026-02-27 06:00:00+00:00,67528.0,67832.0,67727.61,67662.0,212.70269724
2026-02-27 07:00:00+00:00,67462.98,67767.97,67662.0,67686.01,262.84857374
2026-02-27 08:00:00+00:00,67659.01,68072.29,67686.0,67941.01,275.04329276
2026-02-27 09:00:00+00:00,67277.89,68158.58,67941.0,67356.01,300.59813317
2026-02-27 10:00:00+00:00,66578.0,67423.86,67356.0,66613.27,450.25753777
2026-02-27 11:00:00+00:00,65962.77,66800.35,66615.12,66123.71,786.29599328
2026-02-27 12:00:00+00:00,65735.01,66209.52,66119.09,65933.27,473.20270394
2026-02-27 13:00:00+00:00,65656.29,66358.12,65935.07,66283.45,608.19482203
2026-02-27 14:00:00+00:00,65696.0,66353.77,66283.44,65899.36,826.8073012
2026-02-27 15:00:00+00:00,65839.72,66319.67,65896.52,66095.88,962.05053054
2026-02-27 16:00:00+00:00,65458.0,66131.0,66095.32,65473.1,636.26170072
2026-02-27 17:00:00+00:00,65108.23,65749.99,65473.09,65705.77,650.84917663
2026-02-27 18:00:00+00:00,65218.02,65777.95,65705.78,65304.02,425.96000636
2026-02-27 19:00:00+00:00,65156.01,65450.0,65304.01,65385.31,317.05560471
2026-02-27 20:00:00+00:00,65373.98,65669.32,65385.31,65590.47,367.18007394
2026-02-27 21:00:00+00:00,65380.35,65742.57,65589.03,65529.54,316.2565989
2026-02-27 22:00:00+00:00,64942.87,65672.73,65529.54,65634.66,344.90721441
2026-02-27 23:00:00+00:00,65544.37,65950.19,65634.66,65859.94,249.68257232
2026-02-28 00:00:00+00:00,65715.2,66019.49,65859.93,65932.02,217.3691303
2026-02-28 01:00:00+00:00,65737.49,65968.0,65934.74,65774.75,155.39937803
2026-02-28 02:00:00+00:00,65743.49,66016.48,65772.9,65955.99,91.41653237
2026-02-28 03:00:00+00:00,65740.0,65978.0,65955.99,65791.45,98.66125682
2026-02-28 04:00:00+00:00,65481.45,65822.67,65791.44,65660.38,134.12100731
2026-02-28 05:00:00+00:00,65496.01,65727.58,65660.38,65587.37,116.28804712
2026-02-28 06:00:00+00:00,63019.6,65591.99,65587.37,63218.37,1253.31162723
2026-02-28 07:00:00+00:00,63028.58,64330.77,63210.21,63821.02,484.91575571
2026-02-28 08:00:00+00:00,63400.0,63877.27,63819.02,63474.98,288.47058599
2026-02-28 09:00:00+00:00,63363.4,63950.0,63474.97,63652.93,264.58266104
2026-02-28 10:00:00+00:00,63464.47,64036.31,63652.93,64010.75,356.07641091
2026-02-28 11:00:00+00:00,63789.7,64304.08,64010.75,63844.3,283.41030243
2026-02-28 12:00:00+00:00,63831.84,64087.44,63846.04,64027.47,208.21938933
2026-02-28 13:00:00+00:00,63907.48,65218.82,64027.46,65116.0,548.25660765
2026-02-28 14:00:00+00:00,64270.79,65367.0,65111.74,64435.02,593.11722685
2026-02-28 15:00:00+00:00,64212.0,65024.64,64439.6,64841.99,296.68164185
2026-02-28 16:00:00+00:00,64676.77,65219.68,64841.99,65094.62,231.6655674
2026-02-28 17:00:00+00:00,64846.0,65582.83,65094.62,65440.01,304.72298833
2026-02-28 18:00:00+00:00,65181.14,66168.91,65474.72,65913.56,418.03488189
2026-02-28 19:00:00+00:00,65604.08,66666.66,65913.55,66357.26,715.11590949
2026-02-28 20:00:00+00:00,66194.73,67165.98,66357.26,66966.47,675.1593169
2026-02-28 21:00:00+00:00,66370.01,67036.0,66970.45,66728.13,547.27922594
2026-02-28 22:00:00+00:00,66615.05,67761.55,66728.13,67117.73,589.32844512
2026-02-28 23:00:00+00:00,66740.93,67218.99,67117.72,66967.85,221.64526807
2026-03-01 00:00:00+00:00,66623.57,67124.23,66971.54,66799.65,231.82782139
2026-03-01 01:00:00+00:00,66051.86,67714.49,66804.0,67353.45,543.45735211
2026-03-01 02:00:00+00:00,67345.44,68200.0,67353.45,67628.92,709.39861729
2026-03-01 03:00:00+00:00,67378.85,67816.67,67626.08,67506.2,298.75603836
2026-03-01 04:00:00+00:00,67077.31,67617.55,67506.19,67350.6,245.52736833
2026-03-01 05:00:00+00:00,67208.6,67589.64,67350.6,67300.98,203.44270276
2026-03-01 06:00:00+00:00,66791.28,67356.27,67300.98,66928.0,258.65949465
2026-03-01 07:00:00+00:00,66777.0,67239.83,66927.99,67140.44,172.47289309
2026-03-01 08:00:00+00:00,66467.97,67297.07,67140.44,66566.75,256.97906446
2026-03-01 09:00:00+00:00,66251.45,66780.0,66568.0,66413.74,189.70233918
2026-03-01 10:00:00+00:00,66213.49,66734.48,66413.74,66467.46,217.31258497
2026-03-01 11:00:00+00:00,66377.4,66667.12,66467.46,66467.32,113.01224751
2026-03-01 12:00:00+00:00,66240.17,66552.79,66467.32,66300.42,161.39854685
2026-03-01 13:00:00+00:00,66143.23,67361.66,66300.42,66945.48,345.09515317
2026-03-01 14:00:00+00:00,66758.69,67323.99,66945.48,66857.11,313.24313052
2026-03-01 15:00:00+00:00,66818.79,67256.87,66847.52,66850.0,499.70701302
2026-03-01 16:00:00+00:00,65820.0,67119.96,66850.76,66149.13,480.24821889
2026-03-01 17:00:00+00:00,65726.13,66231.64,66149.13,65986.17,424.12133105
2026-03-01 18:00:00+00:00,65986.17,66665.99,65986.17,66324.87,359.13345277
2026-03-01 19:00:00+00:00,65774.4,66353.99,66324.87,65963.94,367.71505524
2026-03-01 20:00:00+00:00,65076.52,65972.27,65963.94,65296.67,627.02325409
2026-03-01 21:00:00+00:00,65272.5,65760.42,65296.67,65661.05,275.54621067
2026-03-01 22:00:00+00:00,65008.38,66486.24,65662.71,65257.47,719.59280324
2026-03-01 23:00:00+00:00,65070.27,66100.0,65251.65,65769.0,498.51519242
2026-03-02 00:00:00+00:00,65748.85,66824.23,65771.56,66507.32,495.18527933
2026-03-02 01:00:00+00:00,66365.12,67071.88,66509.95,66538.37,333.05392796
2026-03-02 02:00:00+00:00,65888.42,66617.66,66539.98,66280.0,391.71248427
2026-03-02 03:00:00+00:00,66103.85,67058.58,66279.99,66825.19,324.4423038
2026-03-02 04:00:00+00:00,66618.9,66978.55,66825.2,66876.32,232.31919238
2026-03-02 05:00:00+00:00,66569.6,67006.95,66876.31,66738.97,249.09296358
2026-03-02 06:00:00+00:00,66050.01,66746.02,66739.18,66208.93,300.40386331
2026-03-02 07:00:00+00:00,65544.0,66217.44,66208.93,66016.8,328.3050876
2026-03-02 08:00:00+00:00,65649.2,66305.04,66021.48,66293.77,339.8037569
2026-03-02 09:00:00+00:00,66162.25,66734.37,66291.85,66168.7,294.27963962
2026-03-02 10:00:00+00:00,66081.12,66398.54,66168.71,66320.6,169.47635076
2026-03-02 11:00:00+00:00,66009.61,66470.0,66320.59,66363.54,251.70525742
2026-03-02 12:00:00+00:00,65908.88,66396.0,66363.54,65960.64,406.53213359
2026-03-02 13:00:00+00:00,65332.81,66144.27,65957.77,65427.85,477.25927572
2026-03-02 14:00:00+00:00,65250.12,67236.36,65427.84,67180.89,1737.13470324
2026-03-02 15:00:00+00:00,66993.01,69635.97,67178.88,69152.45,3065.32986567
2026-03-02 16:00:00+00:00,68939.16,70128.74,69152.44,69483.28,2440.95256292
2026-03-02 17:00:00+00:00,68802.67,69615.36,69483.28,69212.76,978.49569607
2026-03-02 18:00:00+00:00,68722.1,69297.75,69212.75,68902.9,1006.45519971
2026-03-02 19:00:00+00:00,68585.23,69086.71,68902.9,68975.38,1168.64468943
2026-03-02 20:00:00+00:00,68598.0,69533.37,68975.38,69128.01,1396.67352392
2026-03-02 21:00:00+00:00,69000.01,69553.89,69124.2,69425.28,576.41127566
2026-03-02 22:00:00+00:00,69152.55,69517.98,69425.28,69451.21,379.6198739
2026-03-02 23:00:00+00:00,68734.22,69496.85,69451.2,68832.01,429.17990361
2026-03-03 00:00:00+00:00,68640.75,69166.08,68832.0,69090.0,356.45960899
2026-03-03 01:00:00+00:00,68742.73,69255.36,69090.42,68753.77,235.58135669
2026-03-03 02:00:00+00:00,68217.01,68765.75,68753.78,68503.67,325.36473985
2026-03-03 03:00:00+00:00,68225.0,68546.81,68503.69,68366.38,172.75835023
2026-03-03 04:00:00+00:00,68038.0,68448.95,68368.32,68116.11,290.00417891
2026-03-03 05:00:00+00:00,67840.01,68564.0,68116.1,67935.06,397.97815657
2026-03-03 06:00:00+00:00,67788.0,68216.08,67937.43,68095.89,428.13170216
2026-03-03 07:00:00+00:00,67936.83,68262.33,68095.89,68164.02,239.72542724
2026-03-03 08:00:00+00:00,66895.01,68305.51,68164.03,66992.02,424.40811867
2026-03-03 09:00:00+00:00,66339.76,67178.54,66992.02,66642.61,724.24148061
2026-03-03 10:00:00+00:00,66430.0,67017.18,66640.84,66846.0,289.34236803
2026-03-03 11:00:00+00:00,66754.05,67150.24,66842.48,67008.74,286.52815883
2026-03-03 12:00:00+00:00,67008.75,67944.84,67008.75,67381.94,404.2461018
2026-03-03 13:00:00+00:00,66613.41,67422.04,67382.3,66920.05,425.975584
2026-03-03 14:00:00+00:00,66138.2,67579.99,66920.05,66550.32,850.55087918
2026-03-03 15:00:00+00:00,66439.58,67822.55,66550.32,67724.0,1074.20097742
2026-03-03 16:00:00+00:00,67489.85,69000.07,67722.01,68177.31,1456.93917648
2026-03-03 17:00:00+00:00,67631.7,68410.0,68182.66,68318.25,916.07836004
2026-03-03 18:00:00+00:00,67982.96,68927.13,68319.5,68649.04,1178.11304508
2026-03-03 19:00:00+00:00,68322.0,68897.3,68649.04,68437.92,707.7077322
2026-03-03 20:00:00+00:00,68086.99,68596.36,68438.67,68264.6,663.71229162
2026-03-03 21:00:00+00:00,67820.95,68267.6,68267.58,68015.36,372.80488086
2026-03-03 22:00:00+00:00,68017.97,68534.05,68017.98,68319.02,308.4640019
2026-03-03 23:00:00+00:00,68241.39,68854.99,68319.02,68335.99,294.41091724
2026-03-04 00:00:00+00:00,67863.33,68414.0,68335.99,68104.43,513.39824832
2026-03-04 01:00:00+00:00,67953.96,68926.71,68104.43,68421.38,529.24320538
2026-03-04 02:00:00+00:00,67969.06,68456.78,68421.37,68327.54,285.94704894
2026-03-04 03:00:00+00:00,67391.17,68395.05,68327.53,67730.25,418.66178492
2026-03-04 04:00:00+00:00,67455.89,67966.46,67728.0,67788.01,379.55181893
2026-03-04 05:00:00+00:00,67670.97,68371.47,67789.82,68205.5,266.06204111
2026-03-04 06:00:00+00:00,68034.81,68678.44,68205.49,68498.35,407.30622744
2026-03-04 07:00:00+00:00,68341.67,69669.72,68498.35,69496.32,572.87365399
